wkt_geom,DHSID,DHSCC,DHSYEAR,DHSCLUST,CCFIPS,ADM1DHS,ADM1NAME,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,n_mines,avg_dist,close_dist
Point (27.3195140000000265 -14.92766299999993862),ZM201800000061,ZM,2018,61,ZM,1,Central,1,Central,GPS,R,-14.927663,27.319514,1230,1243,WGS84,0,488.1334326,89.18465062
Point (28.74595300000004272 -15.28408899999993764),ZM201800000062,ZM,2018,62,ZM,5,Lusaka,5,Lusaka,GPS,R,-15.284089,28.745953,1124,1135,WGS84,0,468.4725711,58.70981824
Point (28.22691700000007131 -12.7571479999999724),ZM201800000063,ZM,2018,63,ZM,2,Copperbelt,2,Copperbelt,GPS,U,-12.757148,28.226917,517,1214,WGS84,46,451.6484859,6.84360773
Point (24.41142700000006016 -11.73123999999995704),ZM201800000064,ZM,2018,64,ZM,8,North Western,8,North Western,GPS,U,-11.73124,24.411427,1276,1360,WGS84,0,675.5421405,112.9763053
Point (29.55903600000004872 -10.9291229999999473),ZM201800000066,ZM,2018,66,ZM,4,Luapula,4,Luapula,GPS,R,-10.929123,29.559036,1238,1226,WGS84,0,571.9271472,57.8773332
Point (29.63924900000006346 -10.93838199999993321),ZM201800000067,ZM,2018,67,ZM,4,Luapula,4,Luapula,GPS,R,-10.938382,29.639249,1175,1218,WGS84,0,573.9639621,66.65828814
Point (23.13520100000005186 -15.27029899999996587),ZM201800000068,ZM,2018,68,ZM,10,Western,10,Western,GPS,U,-15.270299,23.135201,1020,1044,WGS84,0,767.9871965,408.7294211
Point (28.76739000000003443 -13.08950199999998176),ZM201800000069,ZM,2018,69,ZM,2,Copperbelt,2,Copperbelt,GPS,U,-13.089502,28.76739,997,1336,WGS84,12,454.1850875,7.119847106
Point (31.18381000000005088 -10.25424799999996139),ZM201800000070,ZM,2018,70,ZM,7,Northern,7,Northern,GPS,U,-10.254248,31.18381,1288,1297,WGS84,0,681.6679099,242.413061
Point (29.89729300000004741 -10.79169099999995751),ZM201800000071,ZM,2018,71,ZM,7,Northern,7,Northern,GPS,R,-10.791691,29.897293,745,1175,WGS84,0,592.4815408,93.49959917
Point (24.41597500000005994 -11.76527099999992743),ZM201800000072,ZM,2018,72,ZM,8,North Western,8,North Western,GPS,R,-11.765271,24.415975,155,1391,WGS84,0,674.1357038,110.6304529
Point (24.07580400000006193 -10.95674099999996542),ZM201800000073,ZM,2018,73,ZM,8,North Western,8,North Western,GPS,R,-10.956741,24.075804,1292,1289,WGS84,0,733.1093773,142.5687831
Point (28.69063100000005306 -13.30519799999996167),ZM201800000074,ZM,2018,74,ZM,2,Copperbelt,2,Copperbelt,GPS,R,-13.305198,28.690631,1242,1220,WGS84,12,451.6383414,29.31139454
Point (30.13650000000006912 -11.36019499999997606),ZM201800000075,ZM,2018,75,ZM,4,Luapula,4,Luapula,GPS,R,-11.360195,30.1365,9999,1172,WGS84,0,567.041152,133.9405387
Point (25.87318300000004001 -17.87696399999992991),ZM201800000076,ZM,2018,76,ZM,9,Southern,9,Southern,GPS,U,-17.876964,25.873183,891,896,WGS84,0,657.0020553,79.42603077
Point (28.75498100000004342 -12.97576899999995703),ZM201800000077,ZM,2018,77,ZM,2,Copperbelt,2,Copperbelt,GPS,R,-12.975769,28.754981,1261,1247,WGS84,13,455.3249702,3.33700767
Point (28.17212000000006356 -12.7320039999999608),ZM201800000078,ZM,2018,78,ZM,2,Copperbelt,2,Copperbelt,GPS,U,-12.732004,28.17212,1238,1230,WGS84,48,452.091108,4.991145756
Point (32.05305100000003904 -14.04203999999992902),ZM201800000079,ZM,2018,79,ZM,3,Eastern,3,Eastern,GPS,U,-14.04204,32.053051,1062,1061,WGS84,0,574.5820498,186.3267456
Point (29.01215900000005377 -9.01027399999998124),ZM201800000080,ZM,2018,80,ZM,4,Luapula,4,Luapula,GPS,R,-9.010274,29.012159,951,959,WGS84,0,709.6043826,82.35441093
Point (32.72965800000002901 -9.35676199999994651),ZM201800000081,ZM,2018,81,ZM,6,Muchinga,6,Muchinga,GPS,R,-9.356762,32.729658,9999,1654,WGS84,0,823.3768046,72.81993217
Point (32.01233400000006668 -13.31005999999996448),ZM201800000082,ZM,2018,82,ZM,3,Eastern,3,Eastern,GPS,R,-13.31006,32.012334,540,588,WGS84,0,585.8528294,131.9309719
Point (28.89899600000006785 -11.19216799999998102),ZM201800000083,ZM,2018,83,ZM,4,Luapula,4,Luapula,GPS,U,-11.192168,28.898996,1201,1195,WGS84,3,536.4617532,8.266014392
Point (32.8260590000000434 -12.54965699999996787),ZM201800000084,ZM,2018,84,ZM,3,Eastern,3,Eastern,GPS,R,-12.549657,32.826059,375,1020,WGS84,2,657.5914166,25.99788857
Point (25.69913200000007691 -17.45004699999992681),ZM201800000085,ZM,2018,85,ZM,9,Southern,9,Southern,GPS,R,-17.450047,25.699132,952,1026,WGS84,0,647.4169375,126.4006692
Point (22.45329400000002806 -16.54635499999994863),ZM201800000086,ZM,2018,86,ZM,10,Western,10,Western,GPS,R,-16.546355,22.453294,801,1023,WGS84,0,855.9402653,467.8143217
Point (28.41729900000007092 -14.42094299999996565),ZM201800000087,ZM,2018,87,ZM,1,Central,1,Central,GPS,U,-14.420943,28.417299,1196,1196,WGS84,2,457.0978473,4.762205561
Point (31.19811300000003484 -10.20383299999997462),ZM201800000088,ZM,2018,88,ZM,7,Northern,7,Northern,GPS,U,-10.203833,31.198113,1374,1401,WGS84,0,685.7524137,245.4389907
Point (23.19840100000004668 -14.85613399999994044),ZM201800000089,ZM,2018,89,ZM,10,Western,10,Western,GPS,R,-14.856134,23.198401,807,1031,WGS84,0,756.4531555,367.7575978
Point (32.69115400000004001 -13.28507499999994934),ZM201800000090,ZM,2018,90,ZM,3,Eastern,3,Eastern,GPS,R,-13.285075,32.691154,935,973,WGS84,0,627.6224756,78.3112956
Point (30.12578700000005938 -10.06733599999995477),ZM201800000091,ZM,2018,91,ZM,7,Northern,7,Northern,GPS,R,-10.067336,30.125787,1002,1413,WGS84,0,651.4615885,144.8806225
Point (28.73123753832709681 -9.31493962109621876),ZM201800000092,ZM,2018,92,ZM,4,Luapula,4,Luapula,GPS,U,-9.314939621,28.73123754,947,934,WGS84,0,678.7841107,68.98848258
Point (23.21343700000005583 -15.43996499999997241),ZM201800000093,ZM,2018,93,ZM,10,Western,10,Western,GPS,U,-15.439965,23.213437,1038,1017,WGS84,0,764.4435718,419.6998869
Point (28.59380200000003924 -13.20140599999996311),ZM201800000094,ZM,2018,94,ZM,2,Copperbelt,2,Copperbelt,GPS,R,-13.201406,28.593802,1224,1223,WGS84,12,450.666447,20.31251081
Point (22.18988800000005313 -16.46651999999994587),ZM201800000095,ZM,2018,95,ZM,10,Western,10,Western,GPS,R,-16.46652,22.189888,805,1029,WGS84,0,876.4139177,496.9729893
Point (26.85195300000003726 -12.92772399999995514),ZM201800000096,ZM,2018,96,ZM,8,North Western,8,North Western,GPS,R,-12.927724,26.851953,1199,1193,WGS84,0,490.0810273,103.4627999
